CMCC-ESM2,EC-Earth3,EC-Earth3-Veg,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,NorESM2-MM,TaiESM1,CNRM-CM6-1,ACCESS-CM2,ACCESS-ESM1-5,CNRM-ESM2-1,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,NorESM2-LM
19750101-19991231,19800101-19801231,19800101-19801231,19700101-19891231,19500101-19991231,19500101-19991231,19800101-19841231,19800101-19891231,19800101-19891231,18500101-20141231,19500101-19991231,19500101-19991231,18500101-20141231,18500101-20141231,18500101-20141230,19800101-19891231,19800101-19891231
20000101-20141231,19810101-19811231,19810101-19811231,19900101-20091231,20000101-20141231,20000101-20141231,19850101-19891231,19900101-19991231,19900101-19991231,,20000101-20141231,20000101-20141231,,,,19900101-19991231,19900101-19991231
,19820101-19821231,19820101-19821231,20100101-20141231,,,19900101-19941231,20000101-20091231,20000101-20091231,,,,,,,20000101-20091231,20000101-20091231
,19830101-19831231,19830101-19831231,,,,19950101-19991231,20100101-20141231,20100101-20141231,,,,,,,20100101-20141231,20100101-20141231
,19840101-19841231,19840101-19841231,,,,20000101-20041231,,,,,,,,,,
,19850101-19851231,19850101-19851231,,,,20050101-20091231,,,,,,,,,,
,19860101-19861231,19860101-19861231,,,,20100101-20141231,,,,,,,,,,
,19870101-19871231,19870101-19871231,,,,,,,,,,,,,,
,19880101-19881231,19880101-19881231,,,,,,,,,,,,,,
,19890101-19891231,19890101-19891231,,,,,,,,,,,,,,
,19900101-19901231,19900101-19901231,,,,,,,,,,,,,,
,19910101-19911231,19910101-19911231,,,,,,,,,,,,,,
,19920101-19921231,19920101-19921231,,,,,,,,,,,,,,
,19930101-19931231,19930101-19931231,,,,,,,,,,,,,,
,19940101-19941231,19940101-19941231,,,,,,,,,,,,,,
,19950101-19951231,19950101-19951231,,,,,,,,,,,,,,
,19960101-19961231,19960101-19961231,,,,,,,,,,,,,,
,19970101-19971231,19970101-19971231,,,,,,,,,,,,,,
,19980101-19981231,19980101-19981231,,,,,,,,,,,,,,
,19990101-19991231,19990101-19991231,,,,,,,,,,,,,,
,20000101-20001231,20000101-20001231,,,,,,,,,,,,,,
,20010101-20011231,20010101-20011231,,,,,,,,,,,,,,
,20020101-20021231,20020101-20021231,,,,,,,,,,,,,,
,20030101-20031231,20030101-20031231,,,,,,,,,,,,,,
,20040101-20041231,20040101-20041231,,,,,,,,,,,,,,
,20050101-20051231,20050101-20051231,,,,,,,,,,,,,,
,20060101-20061231,20060101-20061231,,,,,,,,,,,,,,
,20070101-20071231,20070101-20071231,,,,,,,,,,,,,,
,20080101-20081231,20080101-20081231,,,,,,,,,,,,,,
,20090101-20091231,20090101-20091231,,,,,,,,,,,,,,
,20100101-20101231,20100101-20101231,,,,,,,,,,,,,,
,20110101-20111231,20110101-20111231,,,,,,,,,,,,,,
,20120101-20121231,20120101-20121231,,,,,,,,,,,,,,
,20130101-20131231,20130101-20131231,,,,,,,,,,,,,,
,20140101-20141231,20140101-20141231,,,,,,,,,,,,,,
